Key,Value,,,
Purpose:,This workbook is an export of the current AaramBooks master data based on the FINAL frozen architecture specification.,,,
,,,,
Frozen identity rules:,,,,
Supplier:,Phone Number,,,
UoM:,UoM Code,,,
Category:,Category Code,,,
Inventory Item:,Item Code,,,
BOM:,BOM Number,,,
,,,,
Important Notes:,,,,
- Inventory_Items replaces separate sheets for Finished Goods / Raw Materials.,,,,
- Category Attribute Data Types/UoM are excluded as they are not persisted.,,,,
- BOMs are immutable.,,,,
,,,,
Export Details:,,,,
Database Used:,/Users/sumatidhingra/Documents/AaramBooks/Aaram_Inventory/test_manual.db,,,
Export Timestamp:,2026-08-15 14:20:39,,,
,,,,
Record Counts:,,,,
UoM,3,,,
Suppliers,3,,,
Inventory_Categories,12,,,
Category_Attributes,0,,,
Inventory_Items,4,,,
BOM,2,,,
