"Product Code","Amazon ASIN","Name","Sku Id","Selling Price","MRP","Cost Price","Quantity","Packaging Length (in cm)","Packaging Breadth (in cm)","Packaging Height (in cm)","Packaging Weight (in kg)","GST %","Image 1","Image 2","Image 3","Image 4","Image 5","Image 6","Image 7","Image 8","Image 9","Image 10","Video 1","Video 2","Product Type","Size Type","Size","Colour","Description","Return/Exchange Condition","Visibility","Size Chart","Pickup Address Code","HSN Code","Customisation Id","Associated Pixel","attr_Print /Pattern Type","attr_Style","attr_Colour Shade Name","attr_Pattern","attr_Colour","attr_Brand","attr_Usage Instructions","attr_Basic Colour","attr_Features 1","attr_Features 2","attr_Size","attr_Standard Size","attr_Colour Family","attr_Pattern Type","attr_Fabric Type","attr_Country_of_Origin","attr_Package Contents","attr_Thread Count (TC)","attr_Season","attr_Material","attr_Set includes","attr_Ideal For","attr_Key Features","attr_Durability","attr_Packaging","attr_Country of Origin","attr_Package contents","attr_Ideal for","attr_Color","attr_Work Type","attr_Quantity","attr_Colour Code","attr_Fabric Feel","attr_Features","attr_Additional Feature","attr_Bedsheet Dimensions"
"OTTO-BLUE","","Blue Boho Handwoven Ottoman Stool with Pom-Pom Detailing","AH-OTTO-BLUE-HS",1449,2899,720,1,45,35,10,"2.8",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/44unON7l_U2PBTBUHM3_2026-06-18_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/44unON7l_H89SQFOHHN_2026-06-18_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/44unON7l_OJK3METFZM_2026-06-18_3.png","","","","","","","","","","home__home_improvement__utility","size","16x16 Inches","Blue","Bring artisanal charm into your home with the Boho Handwoven Ottoman Stool. Thoughtfully crafted with intricate woven detailing, playful pom-pom accents, and elegant fringe trim, this ottoman effortlessly blends functionality with style. The soothing blue and ivory palette adds a fresh, calming touch to living rooms, bedrooms, reading corners, or cozy lounge spaces.
Supported by sturdy wooden legs and designed for everyday versatility, it serves as a comfortable footrest, extra seating option, decorative accent piece, or stylish companion to your favourite armchair. Whether your decor leans toward bohemian, coastal, Scandinavian, or modern farmhouse aesthetics, this handcrafted ottoman becomes an instant focal point that elevates any space.

Key Uses
- Comfortable footrest after a long day
- Extra seating for guests
- Accent furniture for living rooms and bedrooms
- Reading nook companion
- Decorative styling piece for cozy interiors
- Ideal for bohemian, coastal, and modern homes

What is this ottoman used for?
This ottoman can be used as an extra seat, footrest, decorative accent piece, or styling element in living rooms and bedrooms.

What style of home decor does it suit?
Its bohemian-inspired woven texture and blue chevron pattern complement boho, coastal, Scandinavian, and farmhouse interiors.

What colour is the ottoman?
The ottoman features an elegant ivory white base with sky blue woven geometric detailing.

What material look does it have?
It showcases a handcrafted woven cotton-texture appearance with decorative pom-poms and fringe accents for a premium artisan look","2",true,"","Panipat_132103_0180d","","","","Chevron Geometric Pattern with Textured Dot Weave","Bohemian | Coastal | Modern Farmhouse","Blue on Ivory Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KD-SSK-AQGB-KDB","","Aqua Gulbahar Handblock Printed Cotton Bedsheet Set","KD-SSK-AQGB-KDB",1299,2699,600,2,38,30,4,"1.2",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/lWWNIQew_9MZUQEGCSS_2026-02-08_5.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/lWWNIQew_4WA6OAI9TA_2026-02-08_2.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/lWWNIQew_FECNLKEXPK_2026-02-08_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/lWWNIQew_QNYLLEDZ4Y_2026-02-08_3.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/lWWNIQew_DOL06L604F_2026-02-08_4.jpeg","","","","","","","","","size","100*108 inches","Teal Green","Upgrade your bedroom with the Aqua Gulbahar Handblock Printed Cotton Bedsheet Set, crafted using traditional handblock printing techniques and natural colours. This premium bedsheet features a soothing aqua blue base with intricately hand-printed floral and bird motifs inspired by Indian botanical gardens.
Made from 100% breathable cotton, this handblock printed bedsheet is gentle on the skin, eco-friendly, and ideal for all seasons. The use of natural dyes gives the fabric a soft, earthy finish while ensuring comfort and durability. Each bedsheet is individually hand printed by skilled artisans, making every piece truly unique.
Perfect for those searching for handblock printed cotton bedsheets online, this design blends heritage craftsmanship with modern pastel aesthetics—adding calm, freshness, and elegance to your bedroom décor.","6",true,"","Panipat_132103_0180d","","","",,,,"Handcrafted Indian Bedding
Eco-friendly & Sustainable Home Linen
Pastel Botanical Bedroom Décor
Traditional Craft with Modern Elegance","Traditional handblock printed floral and bird design with detailed botanical vines and an ornamental border.","Aqua with blush pink & soft green motifs","Gentle hand wash or machine wash separately. Use mild detergent. Do not soak or bleach. Dry in shade to maintain natural colours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baby_Dohar_Car","","Pure Mulmul Kids Dohar for Babies & Toddlers – Cartoon Car Print","AH-BBDOHAR-CAR-JSS-4060",1049,1499,500,7,36,29,4,".8",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Pure_Mulmul_Kids_Dohar_for_Babies___Toddlers___Cartoon_Car_Print_RPT8CLK1ZB_2026-05-28_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Pure_Mulmul_Kids_Dohar_for_Babies___Toddlers___Cartoon_Car_Print_KMHC1ZOP3K_2026-05-28_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Pure_Mulmul_Kids_Dohar_for_Babies___Toddlers___Cartoon_Car_Print_AE6BWLAFLZ_2026-05-28_3.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Pure_Mulmul_Kids_Dohar_for_Babies___Toddlers___Cartoon_Car_Print_J6DZK8U9HE_2026-05-28_4.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Pure_Mulmul_Kids_Dohar_for_Babies___Toddlers___Cartoon_Car_Print_ZDD443T31R_2026-05-28_5.png","","","","","","","","others_68c015dd317e68f10e190e4c__others__kids_dohar","size","40x60 inches","","Wrap your little one in cloud-like comfort with the Aaram Homes Pure Muslin Kids Dohar, thoughtfully crafted for babies and toddlers. 
Designed in a soothing white base with adorable multicolor cartoon cars, this ultra-soft 3-layer muslin dohar brings together comfort, breathability, and playful style.
Made from premium-quality pure muslin cotton, this lightweight baby dohar is exceptionally gentle on delicate skin and ideal for all seasons, especially summers. 
The elegant detailing, soft quilted texture, and charming green border create a luxurious nursery aesthetic while keeping your child cozy and comfortable during naps, bedtime, travel, or stroller use.
Its compact 40x60 inch size makes it perfect for toddlers, cribs, nursery beds, cots, and travel use. A beautiful blend of functionality and premium craftsmanship for parents.","6",true,"","Panipat_132103_0180d","","","","Cartoon Car Motif with Star Reverse Print Border","Modern Minimalist Kids Nursery | Baby Bedding Style",,,,,,"100% Pure Cotton Muslin","3-Layer Soft Muslin Dohar","Lightweight & Breathable","40x60 inches",,,,,,,,,,,,,,,,,,,,,,,,,
"PINKRAINBOW-BD","","Pure Mulmul Reversible Kids Dohar – Mermaid & Rainbow Print","AH-PINKRAINBOW-BD-4060",1049,1699,500,11,38,28,4,"1.2",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/UNJJii2U_33256ZONHE_2026-07-03_1.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Pure_Mulmul_Reversible_Baby_Dohar___Mermaid___Rainbow_Print_J1WQH1CE3S_2026-07-01_2.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/UNJJii2U_U0WYLCVQST_2026-07-03_2.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Pure_Mulmul_Reversible_Baby_Dohar___Mermaid___Rainbow_Print_77S9Y0KRGR_2026-07-01_3.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Pure_Mulmul_Reversible_Baby_Dohar___Mermaid___Rainbow_Print_AMXI1RAUBV_2026-07-01_4.jpeg","","","","","","","","kids_baby__home_dcor__bedsheets","size","40x60 inches","","Wrap your little one in cloud-like comfort with the Aaram Homes Pure Mulmul Reversible Baby Dohar, thoughtfully crafted from premium 100% cotton. Designed to keep babies comfortable throughout the year, this lightweight 3-layer muslin dohar is exceptionally soft, breathable, and gentle on delicate skin.

Featuring an enchanting Mermaid & Rainbow print on one side and a playful pink cross pattern on the reverse, this dohar offers two adorable looks in one. The vibrant rainbow-striped piping adds a cheerful finishing touch, making it perfect for nurseries, cots, strollers, nap time, and travel.

Whether it’s afternoon naps, bedtime cuddles, or tummy time, this dohar provides cozy comfort without overheating, making it an ideal companion for every season.

Beautifully designed and made with love, it’s also a thoughtful baby shower, newborn, or birthday gift.


Key Features

✔ Premium 100% Pure Mulmul Cotton

✔ Soft 3-Layer Muslin Construction

✔ Gentle on Sensitive Baby Skin

✔ Lightweight & Breathable

✔ Reversible Design with Two Unique Prints
✔ Ideal for All Seasons
✔ Naturally Airy & Comfortable
✔ Fade Resistant Prints
✔ Perfect for Sleep, Travel & Playtime
✔ Machine Washable
✔ Baby Safe Fabric


Is this baby dohar made of pure cotton?
Yes. It is made from 100% pure mulmul cotton, making it soft, breathable, and safe for delicate baby skin.

Is this dohar suitable for summer?
Yes. The lightweight 3-layer muslin construction provides excellent airflow, making it ideal for summer, air-conditioned rooms, and year-round use.

Can newborn babies use this dohar?
Absolutely. The soft mulmul fabric is gentle enough for newborns and comfortable for toddlers as they grow.

Is the dohar reversible?
Yes. It features two charming designs-a whimsical mermaid and rainbow print on one side and a playful pink cross pattern on the other.

What size is the dohar?
The dohar measures 40 × 60 inches (102 × 152 cm), suitable for cribs, toddler beds, and everyday use

","2",true,"","Panipat_132103_0180d","","","","Mermaid & Rainbow Fantasy Print (Reversible)","Cute & Playful | Storybook inspired","White, Pink, Rainbow Multicolour",,,,,,,,,"102x152 cms",,,,,,,,,,,,,,,,,,,,,,,,
"Baby_Dohar_Ele","","Pure Mulmul Reversible Kids Dohar - Blue Elephant Jungle Print","AH-ELEBLUE-BD-4060",1049,1899,500,15,38,28,4,"1.2",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Pure_Mulmul_Reversible_Baby_Dohar___Blue_Elephant_Jungle_Print_8WBKVTSSBQ_2026-07-02_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Pure_Mulmul_Reversible_Baby_Dohar___Blue_Elephant_Jungle_Print_68I5PJL1SR_2026-07-02_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Pure_Mulmul_Reversible_Baby_Dohar___Blue_Elephant_Jungle_Print_6C81NJ59YA_2026-07-02_3.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Pure_Mulmul_Reversible_Baby_Dohar___Blue_Elephant_Jungle_Print_9OP3HBYG4T_2026-07-02_4.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Pure_Mulmul_Reversible_Baby_Dohar___Blue_Elephant_Jungle_Print_7LHR8CFGXW_2026-07-02_5.png","","","","","","","","","size","40x60 inches","Baby Blue","Wrap your little one in breathable comfort with the Aaram Homes Pure Mulmul Baby Dohar, thoughtfully crafted from premium cotton mulmul fabric. Designed for babies and toddlers, this reversible dohar features an adorable blue elephant jungle print on one side and delicate blue floral print on the reverse, giving you two charming looks in one.
Made with soft mulmul layers, this lightweight baby quilt is gentle on delicate skin while providing just the right amount of warmth for air-conditioned rooms, naps, stroller rides, and everyday use. Its breathable construction helps regulate temperature, making it perfect for year-round comfort.
Whether used in a crib, cot, toddler bed, or while travelling, this premium dohar combines comfort, functionality, and playful design to become an everyday nursery essential.

Key Features
✔️ Premium 100% Cotton Mulmul Fabric
✔️ Reversible Design – Elephant Print & Blue Floral Print
✔️ Lightweight & Breathable for AC Rooms
✔️ Soft on Sensitive Baby Skin
✔️ Gentle Multi-Layer Cotton Construction
✔️ Suitable for Babies & Toddlers
✔️ Skin-Friendly & Comfortable for Everyday Use
✔️ Ideal for Crib, Cot, Stroller, Nap Time & Travel





Q. What is the size of this baby dohar?
This baby dohar measures 40 × 60 inches, making it ideal for newborns, infants, and toddlers.

Q. Is the baby dohar reversible?
Yes. It features a playful blue elephant jungle print on one side and a soft blue floral print on the other, giving you two beautiful looks in one.

Q. Is the fabric safe for sensitive baby skin?
Yes. Made from premium 100% cotton mulmul, it is soft, breathable, and gentle on delicate baby skin.

Q. Can this dohar be used throughout the year?
It is best suited for summer, spring, monsoon, and mild winter conditions, especially for indoor and air-conditioned environments.

Q. How should I wash this baby dohar?
Machine wash on a gentle cycle or hand wash with a mild detergent. Dry in shade to help maintain the softness and vibrancy of the prints.","2",true,"","Panipat_132103_0180d","","","",,"Cute Animal Theme | Gender-Neutral Kids Bedding",,"Playful Blue Elephant Jungle Print with Tropical Leaves",,,,,,,,,"White & Baby Blue","Reversible Printed Baby Dohar","100% Cotton Mulmul","India",,,,,,,,,,,,,,,,,,,,
"AH-OTTO-PINK-HS-03","","Pink Boho Handwoven Ottoman Stool with Pom-Pom Detailing","AH-OTTO-PINK-HS",1699,2899,720,5,45,30,12,"2.8",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/3kn2mU8T_NXCRM0K05S_2026-06-18_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/3kn2mU8T_4ZTKPI8UJ1_2026-06-18_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/3kn2mU8T_N3D64GJQE0_2026-06-18_3.png","","","","","","","","","","home__home_improvement__utility","size","16x16 Inches","Blush Pink","Bring artisanal charm into your home with the Boho Handwoven Ottoman Stool. Thoughtfully crafted with intricate woven detailing, playful pom-pom accents, and elegant fringe trim, this ottoman effortlessly blends functionality with style. The Blush pink and ivory palette adds a fresh, calming touch to living rooms, bedrooms, reading corners, or cozy lounge spaces.
Supported by sturdy wooden legs and designed for everyday versatility, it serves as a comfortable footrest, extra seating option, decorative accent piece, or stylish companion to your favourite armchair. Whether your decor leans toward bohemian, coastal, Scandinavian, or modern farmhouse aesthetics, this handcrafted ottoman becomes an instant focal point that elevates any space.

Key Uses:-
- Comfortable footrest after a long day
- Extra seating for guests
- Accent furniture for living rooms and bedrooms
- Reading nook companion
- Decorative styling piece for cozy interiors
- Ideal for bohemian, coastal, and modern homes

What is this ottoman used for?
This ottoman can be used as a extra seat, footrest, decorative accent piece, or styling element in living rooms and bedrooms.

What style of home decor does it suit?
Its bohemian-inspired woven texture and pink chevron pattern complement boho, coastal, Scandinavian, and farmhouse interiors.

What colour is the ottoman?
The ottoman features an elegant ivory white base with Blush Pink woven geometric detailing.

What material look does it have?
It showcases a handcrafted woven cotton-texture appearance with decorative pom-poms and fringe accents for a premium artisan look","2",true,"","Panipat_132103_0180d","","","","Chevron Geometric Pattern with Textured Dot Weave","Bohemian | Coastal | Modern Farmhouse","Blush Pink",,,,,,,,,,,,,"India",,,,,,,,,,,,,,,,,,,,
"Blue-stripes","","Midnight Blue Stripes 300 TC Pure Cotton Bedsheet Set","AH_MIDNIGHTBLUE_STRIPES_KDB",2499,3999,1200,3,38,30,5,"0.4",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/oPFIp4hu_TAZB9M8G2L_2026-07-31_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Midnight_Blue_Stripes_300_TC_Pure_Cotton_Bedsheet_Set_FDLJQEE5UK_2026-07-17_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Midnight_Blue_Stripes_300_TC_Pure_Cotton_Bedsheet_Set_UIB72KFOG0_2026-07-17_5.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Midnight_Blue_Stripes_300_TC_Pure_Cotton_Bedsheet_Set_WPG6O8WT96_2026-07-17_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Midnight_Blue_Stripes_300_TC_Pure_Cotton_Bedsheet_Set_1TG32D7R2V_2026-07-17_4.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Midnight_Blue_Stripes_300_TC_Pure_Cotton_Bedsheet_Set_XFAYNOU6R8_2026-07-17_6.png","","","","","","","","size","108 x 108 inches","","Some designs never go out of style—they simply become a part of your everyday comfort.
Inspired by the calm of the open sea after sunset, the Midnight Blue Stripes Bedsheet Set brings effortless elegance to your bedroom. The deep navy base paired with crisp white and subtle red stripes creates a timeless look that feels modern yet familiar.
Crafted from 100% Pure Cotton with a luxurious 300 Thread Count, it feels exceptionally soft from the very first touch. The breathable fabric keeps you comfortable through every season while becoming even softer after every wash.
Whether you're refreshing your bedroom or creating a peaceful retreat after a long day, this bedsheet is designed to offer hotel-like comfort with everyday practicality.
Because true luxury is the comfort you experience every single night.

Key Features
✔ 100% Pure Cotton for natural softness and breathability
✔ 300 Thread Count premium weave for a smooth, luxurious feel
✔ Soft, skin-friendly fabric suitable for year-round comfort
✔ Fade-resistant reactive prints for long-lasting colour
✔ Durable stitching with premium finishing
✔ Perfect fit for King Size and Super King Size beds

Why You'll Love It:
- Premium 300 TC cotton that feels luxuriously soft.
- Timeless striped design that never goes out of style.
- Breathable fabric for cool, comfortable sleep all year round.
- Elegant colours that instantly elevate your bedroom décor.
- Made for everyday luxury with long-lasting quality.

What makes the Midnight Harbor Stripes Bedsheet special?
Made from 100% Pure Cotton with a premium 300 Thread Count, this king-size bedsheet offers exceptional softness, breathability, and durability. 
Its timeless navy striped design complements modern bedrooms while providing hotel-like comfort for everyday living. 
The set includes 1 King Size Bedsheet and 2 Large Pillow Covers, making it perfect for those who appreciate premium quality and effortless style.","2",true,"","Panipat_132103_0180d","","","","Contemporary Horizontal Stripes","Modern Minimalist",,,,,,,,,,,"Midnight Navy Blue, White & Crimson Red",,"100% Pure Cotton",,"1 King Size Bedsheet (108 × 108 Inches), 2 Large Pillow Covers","300 TC",,,,,,,,,,,,,,,,,,
"KD-FRLK-SBFLORAL-KDB-5PC","","Soft Blue Floral King Size Bedsheet Set- with frill cushions","KD-FRLK-SBFLORAL-KDB-5PC_",1690,3399,800,7,61,37,7,"2.50",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/lMhqrzAz_9QXZ1PF8M0_2026-05-06_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/lMhqrzAz_JH2HQAFMWY_2026-05-06_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/lMhqrzAz_XCFULQZY2O_2026-05-06_3.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/lMhqrzAz_U2AGQK5LCZ_2026-05-06_4.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/lMhqrzAz_YIWHUYJQ3J_2026-05-06_5.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/lMhqrzAz_RS70R6ZWDA_2026-05-06_6.png","","","","","","","others_68c015dd317e68f10e190e4c__others__bedsheet_set","size","108 x 108 inches","Powder Blue","Turn your bedroom into a soft, calming retreat with the Aaram Soft Blue Floral King Size Bedsheet Set. Designed in soothing pastel blue with delicate floral vines, this bedsheet instantly brings a fresh, elegant feel to your space. The coordinated striped cushions with subtle ruffle detailing add a charm that makes the bed look beautifully styled without much effort.
Made for modern homes that love comfort and aesthetics equally, this bedding set feels light, breathable, and cozy for everyday use. Whether you’re refreshing your master bedroom, styling a guest room, or creating that clean Pinterest-inspired bedroom look, this floral bedsheet set blends effortlessly with neutral and pastel interiors.
The soft floral print adds warmth without looking overpowering, making it perfect for people who love minimal yet graceful home decor.

Includes:
1 King Size Bedsheet
2 Frill Pillow Covers
2 Frill Cushions with fillers","6",true,"","Panipat_132103_0180d","","","",,"Elegant Minimal Floral",,"Pastel Floral Vine Print with Coordinated Striped Ruffle Cushions",,,,,,,"108x108 inches",,,,,,"Includes: 1 King Size Bedsheet, 2 Frill Pillow Covers, 2 Frill Cushions with fillers",,,,,,,,,,,,,,,,,,,
"Dreay-Pink-Frill","","Dreamy Pink Floral Frill King size Bedsheet Set- with filled cushions","KD-FRLK-DREAMYPINK-KDB-5PC",1790,3399,790,13,40.2,62.6,19.4,"2.00",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/0vZdmugz_I0VADCQIXP_2026-05-08_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/0vZdmugz_XQ5IJ9Z95N_2026-05-08_3.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/0vZdmugz_OL450NPMST_2026-05-08_2.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/0vZdmugz_IHOFSVA0S2_2026-05-08_4.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/0vZdmugz_KOFBN6L901_2026-05-08_5.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/0vZdmugz_QR6LIRVK9F_2026-05-27_1.jpeg","","","","","","","","size","108 x 108 inches","Soft Pink","Turn your bedroom into the softest corner of your home with this blush pink floral bedding set designed for comfort lovers and aesthetic homes. The delicate floral print paired with elegant frill-detail cushions gives your space a cozy, calm, and beautifully styled look without trying too hard. Its soothing pastel tones instantly make the room feel brighter, warmer, and more inviting.
Whether you love Pinterest-inspired interiors, soft feminine decor, or simply enjoy coming back to a neat and peaceful bed after a long day, this bedding set blends beautifully into modern Indian homes. The subtle floral pattern keeps it timeless, while the ruffle cushion detailing adds that premium boutique-style charm.

This 5-piece bedding set includes 1 king size bedsheet, 2 pillow covers, and 2 matching frill cushions with fillers to give your bed a complete, thoughtfully styled look. 
Perfect for master bedrooms, guest rooms, gifting, home makeovers, and festive room refreshes.

Why You’ll Love It:
- Soft pink floral design that feels fresh and elegant
- Frill cushion detailing for aesthetic touch
- Creates a cozy, Instagram-worthy bedroom setup
- Easy to style with neutral and pastel interiors
- Ideal for modern, minimal, and feminine bedroom decor

Perfect for everyday use or special home styling moments


Note : We strive to present our products as accurately as possible; however, slight variations in colour may occur due to photography and individual screen settings.","6",true,"","Panipat_132103_0180d","","","",,"Scandinavian Inspired | Minimal Aesthetic",,"Minimal Floral Vine Print with Micro Check Frill Accents",,,,,,,,,,,"220 gsm imported cotton blend",,"Includes: 1 King Size Bedsheet, 2 Pillow Covers, 2 Cushions with Frill Design",,"Suitable for All Seasons",,,,,,,,,,,,,,,,,
"Blush Bloom-Frills","","Blush Bloom Floral King size Bedsheet Set- with 2 cushions","AH-BLUSHBLOOM-FRLK-KDB-5PC",1790,3999,800,11,61,37,7,"3.2",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GIFZEwWE_31GE9GXU48_2026-07-18_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GIFZEwWE_LCK79DCBX4_2026-07-14_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GIFZEwWE_15H7ZR1FPC_2026-07-14_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GIFZEwWE_15P25LP410_2026-07-14_3.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GIFZEwWE_VT7EAG9PCE_2026-07-14_4.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GIFZEwWE_KW6Z5X6JJ1_2026-07-14_5.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GIFZEwWE_OPUDK1VR4U_2026-07-21_1.png","","","","","","home__home_furnishing__bed_linen","size","108 x 108 inches","Blush Pink","Wake up to a bedroom that feels effortlessly elegant.

Inspired by blooming English gardens, the Blush Bloom Frill Bedsheet Set brings together soft blush tones, delicate floral bouquets, and beautifully crafted frill detailing for a timeless, romantic aesthetic. Every detail has been thoughtfully designed to make your bed the center piece of your room.
The graceful floral stripes create a refined look while the matching frilled pillow covers and decorative filled cushions add depth, texture, and a boutique hotel feel. Whether you're styling your master bedroom or refreshing your home for the season, this bedding set instantly transforms your space into a warm, inviting retreat.
Made for everyday comfort and lasting beauty, it's perfect for those who appreciate elegant interiors with a touch of vintage charm.

Why You'll Love It:-
- Elegant Vintage Floral Design
- Soft Blush Pink Colour Palette
- Beautiful Frill Border Detailing
- Two Matching Large Pillow Covers with Frills
- Two Filled Decorative Cushions with Frills
- Breathable & Comfortable Fabric
- Ideal for Modern, Classic & Cottage Style Bedrooms


- Is this a complete bedding set?
Yes. The set includes 1 king size bedsheet, 2 large frill pillow covers, and 2 filled decorative cushions, making it a complete 5-piece bedding set.

- Does the set include cushion fillers?
Yes, both decorative cushions come pre-filled and are ready to use.

- What bedroom styles does this bedding suit?
Its elegant blush pink floral design pairs beautifully with modern minimalist, contemporary, cottagecore, vintage, and luxury-inspired interiors.

- Is the floral print on both the bedsheet and accessories?
Yes. The bedsheet features coordinated floral stripes and bouquet motifs, while the pillow covers and cushions include matching floral frill borders for a cohesive designer look.

- Is this suitable for gifting?
Absolutely. The elegant design and coordinated accessories make it an excellent choice for weddings, anniversaries, housewarmings, festive gifting, and special occasions.","2",true,"","Panipat_132103_0180d","","","","Vintage Floral","Romantic • Cottagecore • Vintage Luxury",,,,,,,,,,,"Blush Pink, Soft White",,"220 gsm cotton blend",,"1 King Size Bedsheet, 2 Large Pillow Covers with Frill Borders, 2 Filled Cushions with Frill Borders",,,,,,,,,,,,,,,,,,,
