transaction_entity,entity_id,amount,currency,fee (exclusive tax),tax,debit,credit,payment_method,upi_flow,card_type,issuer_name,entity_created_at,payment_captured_at,payment_notes,refund_notes,arn,entity_description,order_id,order_receipt,order_notes,dispute_id,dispute_created_at,dispute_reason,settlement_id,settled_at,settlement_utr,settled_by,additional_utr
payment,pay_SXLAfQUx8DfxyA,1149.00,INR,2.30,0.42,0,1146.28,upi,,,,30/03/2026 12:07:30,30/03/2026 12:07:01,"{""address"":""3rd Floor, Urban Ladder, Domlur Layout, Bengaluru""}",,,"",order_SXLAUUU2pKbC8X,69ca19f47f813b92bb5ec725,[],,"",,setl_SZL00zoIWcng0C,04/04/2026 13:15:47,CB0124413146,Razorpay,CB0124413146
payment,pay_SYgVL3Ymerahjc,1149.00,INR,2.30,0.42,0,1146.28,upi,,,,02/04/2026 21:38:31,02/04/2026 21:38:30,"{""address"":""3rd Floor, Urban Ladder, Domlur Layout, Bengaluru""}",,,"",order_SYgV80wWwUar8U,69ce944ee4e0878952320bcc,[],,"",,setl_Sa85LoCkHWHyNs,06/04/2026 13:19:07,CB0124733279,Razorpay,CB0124733279
payment,pay_SYejIbl0I0hAb2,1149.00,INR,2.30,0.42,0,1146.28,upi,,,,02/04/2026 19:54:06,02/04/2026 19:54:06,"{""address"":""3rd Floor, Urban Ladder, Domlur Layout, Bengaluru""}",,,"",order_SYej8khkpFL9EO,69ce7be667f42786a81e09d5,[],,"",,setl_Sa85LoCkHWHyNs,06/04/2026 13:19:07,CB0124733279,Razorpay,CB0124733279
payment,pay_SZI5yjQDGXLP34,1149.00,INR,2.30,0.42,0,1146.28,upi,,,,04/04/2026 10:24:41,04/04/2026 10:24:41,"{""address"":""3rd Floor, Urban Ladder, Domlur Layout, Bengaluru""}",,,"",order_SZI5iHDXHOS8bP,69d099681724d4697a258cfe,[],,"",,setl_SaWVFnANBiIjZV,07/04/2026 13:09:51,CB0124912414,Razorpay,CB0124912414
payment,pay_SZP7XlExTU7lKg,7100.00,INR,142.00,25.56,0,6932.44,upi,,,,04/04/2026 17:16:48,04/04/2026 17:16:48,[],,,#SZP5XHAe4TUwkC,order_SZP5sNbSE8c6It,"",[],,"",,setl_SaWVFnANBiIjZV,07/04/2026 13:09:51,CB0124912414,Razorpay,CB0124912414
payment,pay_SZKB6Te4GJYtDC,4996.00,INR,10.00,1.80,0,4984.20,upi,,,,04/04/2026 12:26:58,04/04/2026 12:26:58,"{""address"":""3rd Floor, Urban Ladder, Domlur Layout, Bengaluru""}",,,"",order_SZKAxAMrinszJl,69d0b614b8a9daa8c79c8c9d,[],,"",,setl_SaWVFnANBiIjZV,07/04/2026 13:09:51,CB0124912414,Razorpay,CB0124912414
payment,pay_SdkV240YAiNYm2,1149.00,INR,24.71,4.44,0,1119.85,upi,,,,15/04/2026 16:47:40,15/04/2026 16:47:39,"{""address"":""3rd Floor, Urban Ladder, Domlur Layout, Bengaluru""}",,,"",order_SdkUuROQmDKHLH,69df73bcb73540627b8899de,[],,"",,setl_SeTtlTPksA8JXH,17/04/2026 13:14:24,CB0126478626,Razorpay,CB0126478626
payment,pay_Secg4c6U1JuBsM,5557.00,INR,98.92,17.80,0,5440.28,card,,credit,ICIC,17/04/2026 21:47:32,17/04/2026 21:47:31,"{""address"":""3rd Floor, Urban Ladder, Domlur Layout, Bengaluru""}",,,,order_Sece35tJSjVude,69e25c9b693974a7f6dfad58,[],,"",,setl_SffS2fM4yPGEyP,20/04/2026 13:09:46,CB0126933522,Razorpay,CB0126933522
payment,pay_Ser3CYbys4TJnQ,889.00,INR,1.78,0.32,0,886.90,upi,,,,18/04/2026 11:51:24,18/04/2026 11:51:23,"{""address"":""3rd Floor, Urban Ladder, Domlur Layout, Bengaluru""}",,,"",order_Ser34UU2Eh2iN0,69e322be105c8119356e8b8e,[],,"",,setl_Sg43BIfykB9MaV,21/04/2026 13:16:14,CB0127070330,Razorpay,CB0127070330
payment,pay_Seo7sVbzk2FaMt,1149.00,INR,2.30,0.42,0,1146.28,upi,,,,18/04/2026 08:59:31,18/04/2026 08:59:30,"{""address"":""3rd Floor, Urban Ladder, Domlur Layout, Bengaluru""}",,,"",order_Seo7fOwW7cxOlc,69e2fa7fec8fae4da1433409,[],,"",,setl_Sg43BIfykB9MaV,21/04/2026 13:16:14,CB0127070330,Razorpay,CB0127070330
